Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
4 1 -6.276001 0.0 -25.8443 7.14801 -13.9302 331.081 -2696.5 332.682 -2699.26 0.0 332.682 -2699.26 40.3152 -25.8443 -2352.107 27.7675 27.7675
4 2 -6.2869687 0.0 -26.0631 7.14445 -13.9162 331.081 -2696.5 332.661 -2699.06 0.0 332.661 -2699.06 40.3797 -26.0631 -2352.0825 27.7338 27.7338
4 3 -6.2869687 0.0 -26.0631 7.14445 -13.9162 331.081 -2696.5 332.661 -2699.06 0.0 332.661 -2699.06 40.3797 -26.0631 -2352.0825 27.7338 27.7338
4 4 -6.2843924 0.0 -26.0435 7.14409 -13.9168 331.081 -2696.5 332.642 -2699.02 0.0 332.642 -2699.02 40.4192 -26.0435 -2352.0022 27.7528 27.7528
4 5 -6.2843924 0.0 -26.0435 7.14409 -13.9168 331.081 -2696.5 332.642 -2699.02 0.0 332.642 -2699.02 40.4192 -26.0435 -2352.0022 27.7528 27.7528
4 6 -6.2843924 0.0 -26.0435 7.14409 -13.9168 331.081 -2696.5 332.642 -2699.02 0.0 332.642 -2699.02 40.4192 -26.0435 -2352.0022 27.7528 27.7528
4 7 -6.2843924 0.0 -26.0435 7.14409 -13.9168 331.081 -2696.5 332.642 -2699.02 0.0 332.642 -2699.02 40.4192 -26.0435 -2352.0022 27.7528 27.7528
5 0 -6.9441237 0.0 -39.1981 7.27414 -14.3075 331.081 -2696.5 329.934 -2685.47 0.0 329.934 -2685.47 43.1718 -39.1981 -2351.5623 16.3456 16.3456
5 1 -6.9441714 0.0 -39.2051 7.27425 -14.3077 331.081 -2696.5 329.934 -2685.46 0.0 329.934 -2685.46 43.1779 -39.2051 -2351.553 16.3457 16.3457
5 2 -6.4816227 0.0 -33.9458 7.2476 -14.1487 331.081 -2696.5 329.938 -2685.92 0.0 329.938 -2685.92 43.7259 -33.9458 -2346.202 21.888 21.888
5 3 -6.667027 0.0 -36.0563 7.18325 -14.0327 331.081 -2696.5 329.957 -2685.7 0.0 329.957 -2685.7 45.9833 -36.0563 -2345.816 21.9695 21.9695
5 4 -6.667117 0.0 -36.0573 7.18333 -14.0329 331.081 -2696.5 329.957 -2685.7 0.0 329.957 -2685.7 45.9848 -36.0573 -2345.8154 21.9695 21.9695
5 5 -6.6675115 0.0 -36.0616 7.18333 -14.0331 331.081 -2696.5 329.957 -2685.7 0.0 329.957 -2685.7 45.9898 -36.0616 -2345.8147 21.9696 21.9696
5 6 -6.272501 0.0 -31.2833 7.17729 -14.1259 331.081 -2696.5 329.974 -2686.76 0.0 329.974 -2686.76 46.1383 -31.2833 -2341.9312 24.6265 24.6265
5 7 -6.272021 0.0 -31.2896 7.17857 -14.127 331.081 -2696.5 329.973 -2686.74 0.0 329.973 -2686.74 46.1425 -31.2896 -2341.9143 24.6245 24.6245
6 0 -6.0646634 0.0 -19.6426 7.07449 -13.7285 331.081 -2696.5 332.31 -2704.73 0.0 332.31 -2704.73 40.5468 -19.6426 -2351.5156 30.5534 30.5534
6 1 -6.0646634 0.0 -19.6426 7.07449 -13.7285 331.081 -2696.5 332.31 -2704.73 0.0 332.31 -2704.73 40.5468 -19.6426 -2351.5156 30.5534 30.5534
6 2 -6.058996 0.0 -19.5578 7.07649 -13.7316 331.081 -2696.5 332.311 -2704.77 0.0 332.311 -2704.77 40.5137 -19.5578 -2351.5032 30.5968 30.5968
6 3 -6.060347 0.0 -19.595 7.07845 -13.7376 331.081 -2696.5 332.332 -2704.77 0.0 332.332 -2704.77 40.5657 -19.595 -2351.4673 30.5868 30.5868
6 4 -6.060347 0.0 -19.595 7.07845 -13.7376 331.081 -2696.5 332.332 -2704.77 0.0 332.332 -2704.77 40.5657 -19.595 -2351.4673 30.5868 30.5868
6 5 -5.808751 0.0 -16.8645 7.10563 -13.7833 331.081 -2696.5 332.401 -2704.99 0.0 332.401 -2704.99 39.9912 -16.8645 -2349.4624 31.141 31.141
6 6 -5.8034 0.0 -16.8683 7.10836 -13.7923 331.081 -2696.5 332.4 -2704.9 0.0 332.4 -2704.9 39.9878 -16.8683 -2349.3806 31.1601 31.1601
6 7 -5.8031063 0.0 -16.8351 7.10683 -13.788 331.081 -2696.5 332.41 -2704.96 0.0 332.41 -2704.96 40.0052 -16.8351 -2349.38 31.1474 31.1474
7 0 -6.492527 0.0 -31.1273 7.23351 -14.2426 331.081 -2696.5 331.031 -2692.26 0.0 331.031 -2692.26 40.9666 -31.1273 -2351.3896 25.8188 25.8188
7 1 -6.492527 0.0 -31.1273 7.23351 -14.2426 331.081 -2696.5 331.031 -2692.26 0.0 331.031 -2692.26 40.9666 -31.1273 -2351.3896 25.8188 25.8188
7 2 -6.492527 0.0 -31.1273 7.23351 -14.2426 331.081 -2696.5 331.031 -2692.26 0.0 331.031 -2692.26 40.9666 -31.1273 -2351.3896 25.8188 25.8188
7 3 -6.500896 0.0 -31.2476 7.24602 -14.2625 331.081 -2696.5 331.056 -2692.25 0.0 331.056 -2692.25 41.1391 -31.2476 -2351.3025 25.7856 25.7856
7 4 -6.500896 0.0 -31.2476 7.24602 -14.2625 331.081 -2696.5 331.056 -2692.25 0.0 331.056 -2692.25 41.1391 -31.2476 -2351.3025 25.7856 25.7856
