Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
4 1 -6.815144 0.0 -37.7243 6.30047 -10.8639 331.081 -2696.5 330.599 -2684.73 0.0 330.599 -2684.73 14.9878 -37.7243 -2376.8677 16.3012 16.3012
4 2 -6.815144 0.0 -37.7243 6.30047 -10.8639 331.081 -2696.5 330.599 -2684.73 0.0 330.599 -2684.73 14.9878 -37.7243 -2376.8677 16.3012 16.3012
4 3 -6.815256 0.0 -37.7813 6.30404 -10.8621 331.081 -2696.5 330.582 -2684.61 0.0 330.582 -2684.61 15.0097 -37.7813 -2376.7996 16.3116 16.3116
4 4 -6.603414 0.0 -36.473 6.28624 -10.8812 331.081 -2696.5 330.506 -2683.1 0.0 330.506 -2683.1 15.8436 -36.473 -2373.2234 20.1772 20.1772
4 5 -6.598499 0.0 -36.4141 6.28567 -10.8796 331.081 -2696.5 330.506 -2683.11 0.0 330.506 -2683.11 15.8134 -36.4141 -2373.2046 20.1754 20.1754
4 6 -6.598499 0.0 -36.4141 6.28567 -10.8796 331.081 -2696.5 330.506 -2683.11 0.0 330.506 -2683.11 15.8134 -36.4141 -2373.2046 20.1754 20.1754
4 7 -6.5936494 0.0 -36.3675 6.28781 -10.8801 331.081 -2696.5 330.506 -2683.1 0.0 330.506 -2683.1 15.801 -36.3675 -2373.1604 20.1764 20.1764
5 0 -6.6631937 0.0 -31.9318 6.3814 -10.859 331.081 -2696.5 331.31 -2692.17 0.0 331.31 -2692.17 15.9009 -31.9318 -2376.8909 19.5157 19.5157
5 1 -6.6631937 0.0 -31.9318 6.3814 -10.859 331.081 -2696.5 331.31 -2692.17 0.0 331.31 -2692.17 15.9009 -31.9318 -2376.8909 19.5157 19.5157
5 2 -6.6598997 0.0 -31.8757 6.38288 -10.8599 331.081 -2696.5 331.322 -2692.22 0.0 331.322 -2692.22 15.9201 -31.8757 -2376.8535 19.5244 19.5244
5 3 -6.6598997 0.0 -31.8757 6.38288 -10.8599 331.081 -2696.5 331.322 -2692.22 0.0 331.322 -2692.22 15.9201 -31.8757 -2376.8535 19.5244 19.5244
5 4 -6.6598997 0.0 -31.8757 6.38288 -10.8599 331.081 -2696.5 331.322 -2692.22 0.0 331.322 -2692.22 15.9201 -31.8757 -2376.8535 19.5244 19.5244
5 5 -6.6598997 0.0 -31.8757 6.38288 -10.8599 331.081 -2696.5 331.322 -2692.22 0.0 331.322 -2692.22 15.9201 -31.8757 -2376.8535 19.5244 19.5244
5 6 -6.6521826 0.0 -31.9537 6.3818 -10.8588 331.081 -2696.5 331.313 -2691.96 0.0 331.313 -2691.96 15.8763 -31.9537 -2376.7244 19.5563 19.5563
5 7 -6.6521826 0.0 -31.9537 6.3818 -10.8588 331.081 -2696.5 331.313 -2691.96 0.0 331.313 -2691.96 15.8763 -31.9537 -2376.7244 19.5563 19.5563
6 0 -6.6103363 0.0 -32.0384 6.2321 -10.9803 331.081 -2696.5 330.732 -2690.6 0.0 330.732 -2690.6 15.0763 -32.0384 -2376.8303 18.7713 18.7713
6 1 -6.6103363 0.0 -32.0384 6.2321 -10.9803 331.081 -2696.5 330.732 -2690.6 0.0 330.732 -2690.6 15.0763 -32.0384 -2376.8303 18.7713 18.7713
6 2 -6.6103363 0.0 -32.0384 6.2321 -10.9803 331.081 -2696.5 330.732 -2690.6 0.0 330.732 -2690.6 15.0763 -32.0384 -2376.8303 18.7713 18.7713
6 3 -6.625261 0.0 -32.4364 6.22165 -10.9811 331.081 -2696.5 330.67 -2690.15 0.0 330.67 -2690.15 15.1557 -32.4364 -2376.7607 18.7428 18.7428
6 4 -6.625261 0.0 -32.4364 6.22165 -10.9811 331.081 -2696.5 330.67 -2690.15 0.0 330.67 -2690.15 15.1557 -32.4364 -2376.7607 18.7428 18.7428
6 5 -6.6258984 0.0 -32.4611 6.21967 -10.9846 331.081 -2696.5 330.658 -2690.11 0.0 330.658 -2690.11 15.1911 -32.4611 -2376.7222 18.7248 18.7248
6 6 -6.6258984 0.0 -32.4611 6.21967 -10.9846 331.081 -2696.5 330.658 -2690.11 0.0 330.658 -2690.11 15.1911 -32.4611 -2376.7222 18.7248 18.7248
6 7 -6.6258984 0.0 -32.4611 6.21967 -10.9846 331.081 -2696.5 330.658 -2690.11 0.0 330.658 -2690.11 15.1911 -32.4611 -2376.7222 18.7248 18.7248
7 0 -7.0280647 0.0 -36.3398 6.22688 -10.7066 331.081 -2696.5 329.942 -2689.29 0.0 329.942 -2689.29 19.0521 -36.3398 -2376.6357 11.5492 11.5492
7 1 -7.01913 0.0 -36.2796 6.22817 -10.7068 331.081 -2696.5 329.945 -2689.24 0.0 329.945 -2689.24 19.0426 -36.2796 -2376.532 11.626 11.626
7 2 -6.9577723 0.0 -35.0478 6.22875 -10.8694 331.081 -2696.5 329.943 -2690.3 0.0 329.943 -2690.3 19.3343 -35.0478 -2376.0703 11.854 11.854
7 3 -6.9573474 0.0 -35.0434 6.22872 -10.8695 331.081 -2696.5 329.943 -2690.3 0.0 329.943 -2690.3 19.3329 -35.0434 -2376.0674 11.854 11.854
7 4 -6.9578176 0.0 -35.0479 6.22926 -10.8696 331.081 -2696.5 329.943 -2690.3 0.0 329.943 -2690.3 19.3498 -35.0479 -2376.0552 11.8548 11.8548
7 5 -6.9578176 0.0 -35.0479 6.22926 -10.8696 331.081 -2696.5 329.943 -2690.3 0.0 329.943 -2690.3 19.3498 -35.0479 -2376.0552 11.8548 11.8548
7 6 -6.924508 0.0 -34.7586 6.23153 -10.8547 331.081 -2696.5 329.94 -2690.18 0.0 329.94 -2690.18 19.6544 -34.7586 -2375.3442 12.3438 12.3438
7 7 -6.533809 0.0 -31.1266 6.25283 -10.8616 331.081 -2696.5 329.918 -2689.35 0.0 329.918 -2689.35 21.4294 -31.1266 -2369.1294 18.3965 18.3965
8 0 -6.9825253 0.0 -39.8134 6.18868 -11.0534 331.081 -2696.5 329.3 -2682.59 0.0 329.3 -2682.59 16.6984 -39.8134 -2376.405 9.10159 9.10159
8 1 -6.9579053 0.0 -39.7052 6.19138 -11.7087 331.081 -2696.5 329.296 -2683.0 0.0 329.296 -2683.0 17.0656 -39.7052 -2376.3438 8.92854 8.92854
8 2 -6.7665067 0.0 -36.845 6.18319 -10.9792 331.081 -2696.5 329.311 -2683.6 0.0 329.311 -2683.6 15.9273 -36.845 -2375.2068 10.9401 10.9401
8 3 -6.686552 0.0 -36.4672 6.34832 -10.9135 331.081 -2696.5 329.229 -2682.43 0.0 329.229 -2682.43 16.1438 -36.4672 -2373.5244 11.5411 11.5411
8 4 -6.5381036 0.0 -33.7102 6.35969 -10.8296 331.081 -2696.5 329.239 -2684.18 0.0 329.239 -2684.18 16.0685 -33.7102 -2372.5825 12.3763 12.3763
