ligand,score,COM_x,COM_y,COM_z,exhaustiveness
Chrysin,-8.2,40.59242706718528,13.760646849859318,-0.487264684498468,2048
Chrysin,-7.8,40.01443970395032,16.065041050698753,-1.045106724651015,2048
Chrysin,-7.8,40.02418433423308,16.06122458524762,-1.041829598210489,2048
Chrysin,-7.6,39.58473911016267,16.471379857626488,-1.0927589219057987,2048
Chrysin,-7.2,40.32130939970555,15.787717070872924,-1.6216982182958295,2048
Chrysin,-6.7,40.148559576228344,15.062227369071525,-0.7250264839836902,2048
Chrysin,-6.5,39.788093885751046,18.514638020591942,-1.6062493098935882,2048
Chrysin,-6.0,43.25870665499248,0.5329954662626787,8.622238799363931,2048
Chrysin,-6.0,42.96485353868989,0.8995268884566897,8.521257942956842,2048
Chrysin,-6.0,43.31952980007736,2.116073168706555,8.920275071374846,2048
Chrysin,-6.0,42.97022082885241,0.8926347615721651,8.525620627318654,2048
Chrysin,-6.0,45.414827976581286,1.544156433354899,8.292173615393914,2048
Chrysin,-6.0,38.61405032331438,21.615587345410045,11.686001293159942,2048
Chrysin,-5.9,41.21676133411991,0.15336187338471807,8.143923383381505,2048
Chrysin,-5.9,43.024282499184146,20.023299887664002,10.947969959968676,2048
Chrysin,-5.8,55.27854755253014,-1.3230882735815237,1.9928715014832319,2048
Chrysin,-5.7,41.63258613861244,-0.27537182219371836,8.81834103609921,2048
Chrysin,-5.7,41.474559628224476,1.076347787227623,8.887442157923779,2048
Chrysin,-8.2,40.59428523158061,13.759897438938886,-0.48487117561375154,8192
Chrysin,-7.8,40.01094100966243,16.063731108608625,-1.0512001564920948,8192
Chrysin,-7.8,40.01576227386866,16.064792862134144,-1.0434141720644476,8192
Chrysin,-7.6,39.57742077581637,16.475411821920748,-1.1054788177933028,8192
Chrysin,-7.2,40.322582435919465,15.789147650965281,-1.6138910912679094,8192
Chrysin,-6.7,40.14679421273357,15.058386488513863,-0.7270305153896761,8192
Chrysin,-6.5,39.780085844549966,18.57171883898498,-1.594287243993209,8192
Chrysin,-6.0,43.256623914448845,0.5319616974590714,8.624914585230552,8192
Chrysin,-6.0,42.973397897520385,0.8926930793723324,8.511946481604873,8192
Chrysin,-6.0,42.95418932984225,0.8896194377447528,8.513797488327077,8192
Chrysin,-6.0,43.31964379443691,2.1114763260413922,8.910258313266759,8192
Chrysin,-6.0,45.3684953740102,1.513122317883362,8.300250903574893,8192
Chrysin,-6.0,38.61846657920487,21.61905435723891,11.682375142146448,8192
Chrysin,-5.9,41.22753369206873,0.1462870601381522,8.149155814925962,8192
Chrysin,-5.9,43.021259050555614,20.019213691977715,10.938437668220681,8192
Chrysin,-5.8,55.27718668185824,-1.33075676536642,1.9975859567072134,8192
Chrysin,-5.7,41.46630906327436,1.0721362612135952,8.887498082845921,8192
Chrysin,-8.2,40.60253757276719,13.757199273695349,-0.4838742681646644,8192
Chrysin,-7.8,40.016713684706396,16.0626982738667,-1.047402761026856,8192
Chrysin,-7.8,40.01099332101623,16.060532352924696,-1.044846570721355,8192
Chrysin,-7.6,39.58093981058302,16.465535632011722,-1.0900642556766578,8192
Chrysin,-7.3,40.087251490399964,15.3648568063215,-0.8056197831127795,8192
Chrysin,-7.2,40.32567656588981,15.780655255602005,-1.616659078211032,8192
Chrysin,-6.7,40.14139515764944,15.065673237081468,-0.7261115697151486,8192
Chrysin,-6.5,39.786080151136524,18.541710363697483,-1.5973953918757193,8192
Chrysin,-6.0,43.255875042906986,0.535192412643866,8.620992490053105,8192
Chrysin,-6.0,42.94310865273244,0.9076578947304286,8.530566809783302,8192
Chrysin,-6.0,43.313051923576445,2.111981810048562,8.916848069184752,8192
Chrysin,-6.0,45.31029856915598,1.5334094146625354,8.290320120413284,8192
Chrysin,-6.0,38.622136780118716,21.621908860131974,11.687633801024967,8192
Chrysin,-5.9,41.213834025437016,0.1596995276233084,8.13268836836072,8192
Chrysin,-5.9,43.0213627218153,20.021378090814338,10.934396786915569,8192
Chrysin,-5.8,55.2783943205118,-1.329758544771388,1.987214376214243,8192
Chrysin,-5.8,42.12214379423379,21.437109275142312,11.869985627133014,8192
Chrysin,-5.7,41.63581218535744,-0.2740293029862272,8.808658493010874,8192
Chrysin,-5.7,41.45029465100405,1.0332209147272455,8.889474634867359,8192
Chrysin,-8.2,40.59512877978334,13.753719863633666,-0.48808466228799724,8192
Chrysin,-7.8,40.014325873703534,16.05576722316877,-1.044887849878082,8192
Chrysin,-7.8,40.02160961592007,16.062490817768285,-1.0446582408296508,8192
Chrysin,-7.6,39.57461583750042,16.470107807957838,-1.0976613988631865,8192
Chrysin,-7.2,40.330252383027215,15.791422056952179,-1.6176111604487569,8192
Chrysin,-6.7,40.13946005490956,15.061256064271776,-0.7283319080978204,8192
Chrysin,-6.5,39.78766381798302,18.515321492054884,-1.6098217320088735,8192
Chrysin,-6.0,43.260997031996084,0.5370511091058302,8.624239067793935,8192
Chrysin,-6.0,42.96321828429194,0.8920317007388898,8.512190824162182,8192
Chrysin,-6.0,43.31691107102356,2.118726793661251,8.910269247889834,8192
Chrysin,-6.0,42.960592847250275,0.8862071855560611,8.514338352286604,8192
Chrysin,-6.0,45.38833373633043,1.5346569922726456,8.269379510552334,8192
Chrysin,-6.0,38.618518601573925,21.61775595024589,11.69192793686111,8192
Chrysin,-5.9,41.22803376920986,0.143717031225868,8.153677642372102,8192
Chrysin,-5.9,43.020058974413786,20.022634765471885,10.942993797186997,8192
Chrysin,-5.8,55.272513068129825,-1.3247944106438032,1.9947296496297848,8192
