Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
4 5 -6.8989797 0.0 -37.6676 7.84869 -17.0495 331.081 -2696.5 329.661 -2688.53 0.0 329.661 -2688.53 11.6489 -37.6676 -2384.8877 2.55114 2.55114
4 6 -6.9476786 0.0 -38.3964 7.86258 -17.0347 331.081 -2696.5 329.672 -2688.18 0.0 329.672 -2688.18 12.9893 -38.3964 -2383.915 3.39288 3.39288
4 7 -6.9266663 0.0 -38.8453 7.85207 -17.1557 331.081 -2696.5 329.685 -2687.3 0.0 329.685 -2687.3 14.7688 -38.8453 -2381.6914 4.47008 4.47008
5 0 -7.6583514 0.0 -44.706 7.59399 -14.1542 331.081 -2696.5 329.689 -2687.6 0.0 329.689 -2687.6 2.28383 -44.706 -2400.3333 -9.92744 -9.92744
5 1 -7.676616 0.0 -45.0396 7.57631 -14.1385 331.081 -2696.5 329.686 -2687.39 0.0 329.686 -2687.39 2.45314 -45.0396 -2400.2903 -9.88478 -9.88478
5 2 -7.657492 0.0 -44.7521 7.58895 -14.1478 331.081 -2696.5 329.685 -2687.51 0.0 329.685 -2687.51 2.30734 -44.7521 -2400.2698 -9.91347 -9.91347
5 3 -7.2787066 0.0 -41.2681 7.79528 -13.915 331.081 -2696.5 329.708 -2686.19 0.0 329.708 -2686.19 1.6793 -41.2681 -2396.0708 -6.39821 -6.39821
5 4 -7.279837 0.0 -41.5144 7.79792 -14.0013 331.081 -2696.5 329.708 -2685.91 0.0 329.708 -2685.91 1.71449 -41.5144 -2396.0017 -6.74582 -6.74582
5 5 -7.181826 0.0 -40.8653 7.76584 -17.5643 331.081 -2696.5 329.744 -2688.98 0.0 329.744 -2688.98 9.90072 -40.8653 -2390.2007 -3.53999 -3.53999
5 6 -7.3181705 0.0 -40.9861 7.8718 -14.5162 331.081 -2696.5 329.751 -2687.82 0.0 329.751 -2687.82 9.03637 -40.9861 -2390.0188 1.15838 1.15838
5 7 -7.4306464 0.0 -45.2731 7.35501 -14.7754 331.081 -2696.5 329.622 -2683.89 0.0 329.622 -2683.89 14.9122 -45.2731 -2384.6287 5.57047 5.57047
6 0 -7.50247 0.0 -44.7832 6.64296 -14.2744 331.081 -2696.5 329.9 -2686.85 0.0 329.9 -2686.85 2.63918 -44.7832 -2399.0942 -9.12013 -9.12013
6 1 -7.562734 0.0 -46.8322 6.70082 -16.9247 331.081 -2696.5 329.901 -2687.23 0.0 329.901 -2687.23 12.1628 -46.8322 -2391.9985 -4.46266 -4.46266
7 0 -7.7563834 0.0 -47.9012 7.82149 -14.3803 331.081 -2696.5 329.723 -2684.19 0.0 329.723 -2684.19 3.3615 -47.9012 -2399.0068 -7.89076 -7.89076
7 1 -7.678627 0.0 -47.13 7.84472 -15.9909 331.081 -2696.5 329.706 -2685.66 0.0 329.706 -2685.66 7.025 -47.13 -2396.0588 -6.58917 -6.58917
