Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
4 0 -6.9877706 0.0 -36.9919 6.67189 -12.02 331.081 -2696.5 329.412 -2687.43 0.0 329.412 -2687.43 4.45778 -36.9919 -2390.5522 -0.277149 -0.277149
4 1 -6.9877706 0.0 -36.9919 6.67189 -12.02 331.081 -2696.5 329.412 -2687.43 0.0 329.412 -2687.43 4.45778 -36.9919 -2390.5522 -0.277149 -0.277149
4 2 -6.9879155 0.0 -36.9931 6.6719 -12.0195 331.081 -2696.5 329.412 -2687.43 0.0 329.412 -2687.43 4.45962 -36.9931 -2390.5513 -0.277115 -0.277115
4 3 -6.9875617 0.0 -36.9899 6.67188 -12.0203 331.081 -2696.5 329.412 -2687.43 0.0 329.412 -2687.43 4.45701 -36.9899 -2390.5508 -0.277164 -0.277164
4 4 -7.2359996 0.0 -42.8193 6.67285 -16.3548 331.081 -2696.5 329.411 -2686.81 0.0 329.411 -2686.81 10.8401 -42.8193 -2389.3784 0.910663 0.910663
4 5 -7.23589 0.0 -42.8183 6.67282 -16.355 331.081 -2696.5 329.411 -2686.81 0.0 329.411 -2686.81 10.8394 -42.8183 -2389.378 0.910657 0.910657
4 6 -7.2354426 0.0 -42.8136 6.67286 -16.3551 331.081 -2696.5 329.411 -2686.81 0.0 329.411 -2686.81 10.8388 -42.8136 -2389.374 0.910602 0.910602
4 7 -7.2354426 0.0 -42.8136 6.67286 -16.3551 331.081 -2696.5 329.411 -2686.81 0.0 329.411 -2686.81 10.8388 -42.8136 -2389.374 0.910602 0.910602
5 0 -6.6334147 0.0 -32.7646 6.68179 -12.284 331.081 -2696.5 331.008 -2690.89 0.0 331.008 -2690.89 2.18616 -32.7646 -2390.4602 6.28388 6.28388
5 1 -6.616353 0.0 -32.5716 6.67898 -12.2892 331.081 -2696.5 331.041 -2690.97 0.0 331.041 -2690.97 2.07767 -32.5716 -2390.4229 6.33919 6.33919
